name,position,color,bowl,task,success,failure_type,duration_s,timestamp,policy,mode
smolvla_real_simeval,1,red,left,put the red block in the left bowl,0,no_reach,30.0,2026-09-15T23:18:18,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,2,blue,right,put the blue block in the right bowl,0,drop,30.0,2026-09-15T23:19:17,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,3,red,left,put the red block in the left bowl,0,no_reach,30.0,2026-09-15T23:20:16,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,4,blue,right,put the blue block in the right bowl,0,no_reach,30.0,2026-09-15T23:21:15,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,5,red,left,put the red block in the left bowl,0,no_reach,30.0,2026-09-15T23:22:15,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,6,blue,right,put the blue block in the right bowl,0,touch_no_grip,30.0,2026-09-15T23:23:13,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,7,red,left,put the red block in the left bowl,0,no_reach,30.0,2026-09-15T23:24:13,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,8,blue,right,put the blue block in the right bowl,0,no_reach,30.0,2026-09-15T23:25:12,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,9,red,left,put the red block in the left bowl,0,no_reach,30.0,2026-09-15T23:26:14,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,10,blue,right,put the blue block in the right bowl,0,touch_no_grip,30.0,2026-09-15T23:27:12,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,11,red,left,put the red block in the left bowl,0,no_reach,30.0,2026-09-15T23:28:13,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,12,blue,right,put the blue block in the right bowl,0,no_reach,30.0,2026-09-15T23:29:11,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,13,red,left,put the red block in the left bowl,0,touch_no_grip,30.0,2026-09-15T23:30:11,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,14,blue,right,put the blue block in the right bowl,0,no_reach,30.0,2026-09-15T23:31:09,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,15,red,left,put the red block in the left bowl,0,no_reach,30.0,2026-09-15T23:32:08,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,16,blue,right,put the blue block in the right bowl,0,no_reach,30.0,2026-09-15T23:33:07,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,17,red,left,put the red block in the left bowl,0,no_reach,30.0,2026-09-15T23:34:07,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,18,blue,right,put the blue block in the right bowl,0,no_reach,30.0,2026-09-15T23:35:06,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,19,red,left,put the red block in the left bowl,0,no_reach,30.0,2026-09-15T23:36:05,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
smolvla_real_simeval,20,blue,right,put the blue block in the right bowl,0,no_reach,30.0,2026-09-15T23:37:04,/outputs/smolvla_so101_blocks_n100_s0/checkpoints/020000/pretrained_model,sim
